instance_id,schedule_id,scheduled_departure,scheduled_arrival,actual_departure,actual_arrival,aircraft_id,real_price
1,20244,2025-06-07 00:00:00,2025-06-07 01:35:00,,,1,
2,20478,2025-06-07 00:00:00,2025-06-07 03:40:00,,,2,
3,20538,2025-06-07 00:00:00,2025-06-07 02:20:00,,,3,
4,20781,2025-06-07 00:00:00,2025-06-07 01:25:00,,,4,
5,20945,2025-06-07 00:00:00,2025-06-07 02:00:00,,,5,
6,21141,2025-06-07 00:00:00,2025-06-07 01:40:00,,,6,
7,21265,2025-06-07 00:00:00,2025-06-07 02:15:00,,,7,
8,21437,2025-06-07 00:00:00,2025-06-07 02:55:00,,,8,
9,22044,2025-06-07 00:00:00,2025-06-07 02:40:00,,,9,
10,22564,2025-06-07 00:00:00,2025-06-07 02:50:00,,,10,
11,22595,2025-06-07 00:00:00,2025-06-07 02:20:00,,,11,
12,22977,2025-06-07 00:00:00,2025-06-07 01:15:00,,,12,
13,23032,2025-06-07 00:00:00,2025-06-07 03:20:00,,,13,
14,23587,2025-06-07 00:00:00,2025-06-07 02:45:00,,,14,
15,23704,2025-06-07 00:00:00,2025-06-07 02:05:00,,,15,
16,20071,2025-06-07 00:05:00,2025-06-07 01:40:00,,,16,
17,20578,2025-06-07 00:05:00,2025-06-07 01:50:00,,,17,
18,20616,2025-06-07 00:05:00,2025-06-07 01:45:00,,,18,
19,20647,2025-06-07 00:05:00,2025-06-07 03:45:00,,,19,
20,20965,2025-06-07 00:05:00,2025-06-07 03:55:00,,,20,
21,21173,2025-06-07 00:05:00,2025-06-07 01:00:00,,,21,
22,21275,2025-06-07 00:05:00,2025-06-07 02:15:00,,,22,
23,21571,2025-06-07 00:05:00,2025-06-07 03:20:00,,,23,
24,21654,2025-06-07 00:05:00,2025-06-07 02:50:00,,,24,
25,21753,2025-06-07 00:05:00,2025-06-07 03:00:00,,,25,
26,21788,2025-06-07 00:05:00,2025-06-07 03:50:00,,,26,
27,21854,2025-06-07 00:05:00,2025-06-07 03:20:00,,,27,
28,22011,2025-06-07 00:05:00,2025-06-07 01:45:00,,,28,
29,22134,2025-06-07 00:05:00,2025-06-07 01:15:00,,,29,
30,22334,2025-06-07 00:05:00,2025-06-07 05:00:00,,,30,
31,22537,2025-06-07 00:05:00,2025-06-07 04:15:00,,,31,
32,22755,2025-06-07 00:05:00,2025-06-07 03:40:00,,,32,
33,22851,2025-06-07 00:05:00,2025-06-07 03:10:00,,,33,
34,23042,2025-06-07 00:05:00,2025-06-07 02:50:00,,,34,
35,23331,2025-06-07 00:05:00,2025-06-07 02:20:00,,,35,
36,23335,2025-06-07 00:05:00,2025-06-07 02:30:00,,,36,
37,20011,2025-06-07 00:10:00,2025-06-07 01:15:00,,,37,
38,20184,2025-06-07 00:10:00,2025-06-07 02:55:00,,,38,
39,20546,2025-06-07 00:10:00,2025-06-07 01:35:00,,,39,
40,21066,2025-06-07 00:10:00,2025-06-07 01:25:00,,,40,
41,21319,2025-06-07 00:10:00,2025-06-07 01:25:00,,,41,
42,21620,2025-06-07 00:10:00,2025-06-07 03:25:00,,,42,
43,21789,2025-06-07 00:10:00,2025-06-07 02:10:00,,,43,
