route_id,airport_from,airport_to,distance_km,default_price
1,1,2,106,27
2,1,3,1521,96
3,1,4,1521,96
4,1,5,2081,124
5,1,6,2023,121
6,1,7,785,67
7,1,8,886,64
8,1,9,931,67
9,1,10,708,62
10,1,11,2543,147
11,1,12,2194,130
12,1,13,1518,96
13,1,14,1501,95
14,1,15,1393,90
15,1,16,1575,99
16,1,17,1548,97
17,1,18,1595,100
18,1,19,291,40
19,1,20,259,38
20,1,21,438,46
21,1,22,337,40
22,1,23,698,62
23,1,24,658,59
24,1,25,564,54
25,1,26,367,42
26,1,27,175,32
27,1,28,1416,91
28,1,29,1342,87
29,1,30,1054,73
30,1,31,892,65
31,1,32,929,66
32,1,33,1661,103
33,1,34,1781,109
34,1,35,1769,108
35,1,36,2033,122
36,1,37,1942,117
37,1,38,2133,127
38,1,39,2132,127
39,1,40,2825,161
40,1,41,1586,99
41,1,42,1585,99
42,1,43,1636,102
43,1,44,1213,81
44,1,45,1274,84
45,1,46,1525,96
46,1,47,1701,105
47,1,48,2098,125
48,1,49,1822,111
49,1,50,1305,85
50,1,51,993,70
51,1,52,1290,84
52,1,53,1540,97
53,1,54,1479,94
54,1,55,1427,91
55,1,56,1155,78
56,1,57,1443,92
57,1,58,1123,76
58,1,59,529,52
59,1,60,291,40
60,1,61,826,61
61,1,62,759,66
62,1,63,913,66
63,1,64,202,34
64,1,65,522,51
65,1,66,669,60
66,1,67,692,61
67,1,68,621,57
68,1,69,3689,204
69,1,70,3578,199
70,1,71,3412,191
71,1,72,3804,210
72,1,73,2351,138
73,1,74,2430,141
74,1,75,2488,144
75,1,76,2528,146
76,1,77,2509,145
77,1,78,625,57
78,1,79,595,56
79,1,80,1003,70
80,1,81,956,68
81,1,82,937,67
82,1,83,749,65
83,1,84,768,66
84,1,85,459,48
85,1,86,770,66
86,1,87,1064,73
87,1,88,671,60
88,1,89,594,56
89,1,90,948,67
90,1,91,250,37
91,1,92,840,62
92,1,93,806,60
93,1,94,747,65
94,1,95,858,63
95,1,96,171,32
96,1,97,703,62
97,1,98,169,32
98,1,99,1752,108
99,1,100,1682,104
100,1,101,1778,109
101,1,102,1113,76
102,1,103,1526,96
103,1,104,1540,97
104,1,105,1622,101
105,1,106,1392,90
106,1,107,767,66
107,1,108,957,68
108,1,109,958,68
109,1,110,112,28
110,1,111,138,30
111,1,112,1657,103
112,1,113,1649,102
113,1,114,1504,95
114,1,115,170,32
115,1,116,89,26
116,1,117,2171,129
117,1,118,2323,136
118,1,119,2177,129
119,1,120,1199,80
120,1,121,1229,81
121,1,122,963,68
122,1,123,1099,75
123,1,124,1444,92
124,1,125,1243,82
125,1,126,1400,90
126,1,127,1008,70
127,1,128,1116,76
128,1,129,983,69
129,1,130,2466,143
130,1,131,2367,138
131,1,132,2430,141
132,1,133,3359,188
133,1,134,3879,214
134,1,135,626,58
135,1,136,676,61
136,1,137,787,67
137,1,138,898,65
138,1,139,650,59
139,1,140,381,43
140,1,141,277,39
141,1,142,276,39
142,1,143,776,67
143,1,144,814,61
144,1,145,852,63
145,1,146,681,61
146,1,147,649,59
147,1,148,649,59
148,1,149,1958,118
149,1,150,1474,94
150,1,151,1723,106
151,1,152,2154,128
152,1,153,1766,108
153,1,154,2241,132
154,1,155,1870,114
155,1,156,1729,106
156,1,157,1452,93
157,1,158,1804,110
158,1,159,2032,122
159,1,160,1999,120
160,1,161,1883,114
161,1,162,1637,102
162,1,163,1942,117
163,1,164,1113,76
164,1,165,1217,81
165,1,166,1186,79
166,1,167,1151,78
167,1,168,756,65
168,1,169,806,60
169,1,170,1129,76
170,1,171,724,63
171,1,172,1080,74
172,1,173,942,67
173,1,174,826,61
174,1,175,1315,86
175,1,176,1298,85
176,1,177,990,69
177,1,178,1040,72
178,1,179,1595,100
179,1,180,1901,115
180,1,181,1868,113
181,1,182,1882,114
182,1,183,1917,116
183,1,184,1872,114
184,1,185,1837,112
185,1,186,2111,126
186,1,187,2325,136
187,1,188,2031,122
188,1,189,2376,139
189,1,190,2143,127
190,1,191,2038,122
191,1,192,2180,129
192,1,193,625,57
193,2,1,106,27
194,2,3,1522,96
195,2,4,1522,96
196,2,5,2112,126
197,2,6,2057,123
198,2,7,879,64
199,2,8,963,68
200,2,9,997,70
201,2,10,793,68
202,2,11,2579,149
203,2,12,2221,131
204,2,13,1623,101
205,2,14,1602,100
206,2,15,1499,95
207,2,16,1639,102
208,2,17,1610,101
209,2,18,1661,103
210,2,19,384,43
211,2,20,340,40
212,2,21,527,52
213,2,22,411,45
214,2,23,758,65
215,2,24,710,63
216,2,25,647,59
217,2,26,430,46
218,2,27,253,38
219,2,28,1392,90
220,2,29,1313,86
221,2,30,1144,77
222,2,31,989,69
223,2,32,1030,72
224,2,33,1757,108
225,2,34,1874,114
226,2,35,1859,113
227,2,36,2139,127
228,2,37,2048,122
229,2,38,2239,132
230,2,39,2237,132
231,2,40,2930,167
232,2,41,1636,102
233,2,42,1633,102
234,2,43,1688,104
235,2,44,1225,81
236,2,45,1306,85
237,2,46,1536,97
